[2026-07-02T16:37:30.515Z] GET http://localhost:3000/tiendasregistradas → 200 (765ms, ?B)
[2026-07-02T16:37:31.292Z] GET http://localhost:3000/_next/static/css/app/layout.css?v=1783010250782 → pending (?ms, ?B)
[2026-07-02T16:37:31.293Z] GET http://localhost:3000/_next/static/chunks/webpack.js?v=1783010250782 → pending (?ms, ?B)
[2026-07-02T16:37:31.293Z] GET http://localhost:3000/_next/static/chunks/main-app.js?v=1783010250782 → pending (?ms, ?B)
[2026-07-02T16:37:31.296Z] GET http://localhost:3000/_next/static/chunks/app-pages-internals.js → pending (?ms, ?B)
[2026-07-02T16:37:31.296Z] GET http://localhost:3000/_next/static/chunks/app/layout.js → pending (?ms, ?B)
[2026-07-02T16:37:31.296Z] GET http://localhost:3000/_next/static/chunks/app/(public)/layout.js → pending (?ms, ?B)
[2026-07-02T16:37:31.297Z] GET http://localhost:3000/_next/static/chunks/app/(public)/tiendasregistradas/page.js → pending (?ms, ?B)
[2026-07-02T16:37:31.297Z] GET http://localhost:3000/_next/static/chunks/app/(public)/page.js → pending (?ms, ?B)
[2026-07-02T16:37:31.297Z] GET https://static.micuentaweb.pe/static/js/krypton-client/V4.0/ext/classic-reset.css → pending (?ms, ?B)
[2026-07-02T16:37:31.297Z] GET https://static.micuentaweb.pe/static/js/krypton-client/V4.0/stable/kr-payment-form.min.js → pending (?ms, ?B)
[2026-07-02T16:37:31.297Z] GET https://static.micuentaweb.pe/static/js/krypton-client/V4.0/ext/classic.js → pending (?ms, ?B)
[2026-07-02T16:37:31.629Z] GET https://fonts.googleapis.com/css2?family=Roboto:wght@400;500;700&display=swap → 200 (402ms, 2158B)
[2026-07-02T16:37:32.761Z] GET https://accounts.google.com/gsi/client → pending (?ms, ?B)
[2026-07-02T16:37:32.761Z] GET http://localhost:3000/_next/static/chunks/_app-pages-browser_node_modules_tanstack_query-devtools_build_DevtoolsComponent_B5PP2USH_js.js → pending (?ms, ?B)
[2026-07-02T16:37:33.353Z] GET http://localhost:3000/img/iconologo.png → 200 (4ms, 61918B)
[2026-07-02T16:37:33.353Z] GET https://fonts.googleapis.com/css2?family=Outfit:wght@100..900&display=swap → 200 (125ms, 511B)
[2026-07-02T16:37:33.356Z] GET http://localhost:8000/api/categories/mega-menu → pending (?ms, ?B)
[2026-07-02T16:37:33.357Z] GET http://localhost:8000/api/stores?per_page=50 → pending (?ms, ?B)
[2026-07-02T16:37:33.357Z] GET http://localhost:8000/api/medals/active → pending (?ms, ?B)
